name,status,location,price,score,cuisines
Las Bugambilias,,Old City District Philadelphia ,★★,9.099255583126551,
John's Roast Pork,,South Philadelphia Philadelphia ,★,9.095161290322581,American Sandwiches
Cheu Fishtown & nunu,,Fishtown Philadelphia ,★★,9.095161290322581,Asian Fusion
Eden,, Rehoboth Beach United States,★★,9.095161290322581,
The Shrimp Boat Restaurant and Seafood Market,,Cape Isle of Wight Ocean City ,★★,9.08287841191067,Sandwiches Seafood
Honey's Sit 'n Eat,,Northern Liberties Philadelphia ,★★,9.0787841191067,American Diner
Tio Mexican Restaurant Phoenixville,, Phoenixville United States,★★,9.07468982630273,Mexican
Black Lab Bistro,, Phoenixville United States,★★,9.07468982630273,
Keg & Kitchen,,Westmont Haddon Township United States,★★,9.06650124069479,
Duval's Fresh. Local. Seafood.,,Main Street Merchants Sarasota United States,★★,9.06240694789082,Seafood
Phillippi Creek Oyster Bar,, Sarasota United States,★★,9.06240694789082,
Legendairy Milkshake Bar,,The District Nashville ,★★,9.054218362282878,Dessert
Yocco's The Hot Dog King,, Emmaus United States,,9.054218362282878,
Coquette,,Seaport District Boston United States,,9.046029776674938,French
Melt,,Center Valley Pennsylvania ,★★★,9.046029776674938,Italian
La Collina,,Roxborough-Manayunk Bala Cynwyd ,★★★,9.046029776674938,Italian
Bing Bing Dim Sum,,East Passyunk Crossing Philadelphia ,★★,9.033746898263027,Dim Sum
Mr Shrimp,, Belmar United States,★★,9.033746898263027,
Terrain Cafe,, Devon United States,,9.025558312655086,Gluten Free Vegan Vegetarian
Tosco's Italian Delight,, Red Hill United States,★★,9.021464019851116,Delicatessen Italian
The British Chip Shop,, Haddonfield United States,★★,9.021464019851116,
China Wok,, Norristown United States,★,9.013275434243177,Chinese
Yocco's The Hot Dog King,, Trexlertown United States,★,9.013275434243177,
Chilmark General Store,,Menemsha Chilmark United States,,9.005086848635235,
Nicola Pizza,, Rehoboth Beach United States,★,9.000992555831266,Pizza
Pretty Bird Coffee Roasters,, Yardley United States,,8.996898263027296,Coffee Shop
Deuxave,OPERATIONAL,Back Bay West Boston ,★★★★,8.996898263027296,American French
Kitchen Kabaret,,Main Street Historic District Roslyn Heights ,★★,8.988709677419354,Breakfast Japanese Sandwiches Sushi
Sunny Bay Cafe,, Rehoboth Beach United States,,8.984615384615385,
Grotto Pizza,, Rehoboth Beach United States,★★,8.984615384615385,Pizza
Go Fish!,, Rehoboth Beach United States,★★,8.984615384615385,
Rise Up Coffee,,Spring Lake Rehoboth Beach United States,,8.972332506203474,Coffee Shop
